"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72461163006202522259_id.ret"
""
"Cadastrado título novo: 9000008655 3072 - BAKELS BRASIL INGRED 31/07/2025 RG 307,02 0"
"Pago título: 2500000819 2817 - W  W BOULEVARD COMER 30/06/2025 LQ 192,69 192,69"
"Pago título: 2500000821 2835 - SULBRAS MOLDES E PLA 30/06/2025 LQ 192,5 192,5"
"Pago título: 2500000823 3579 - ADM ARMAZENS GERAIS 30/06/2025 LQ 192,5 192,5"
"Pago título: 2500000826 3944 - VULKAN DO BRASIL LTD 30/06/2025 LQ 191,92 191,92"
"Pago título: 2500000827 2244 - SEARA ALIMENTOS SA 30/06/2025 LQ 191,29 191,29"
"Pago título: 2500000829 1022 - EDIFICIO RESIDENCIAL 30/06/2025 LQ 190,64 190,64"
"Pago título: 2500000837 5508 - INDUSTRIA E COMERCIO 30/06/2025 LQ 187,69 187,69"
"Pago título: 2500000842 3252 - LICEU SALESIANO NOSS 30/06/2025 LQ 185,69 185,69"
"Pago título: 2500000843 7750 - CAPITAL MIX CONCRETO 30/06/2025 LQ 182,72 182,72"
"Pago título: 2500000845 3914 - ANDRETA MOTORS LTDA 30/06/2025 LQ 182,61 182,61"
"Pago título: 2500000849 70 - DS SIQUEIRA  LIMA HOTE 30/06/2025 LQ 180,64 180,64"
"Pago título: 2500000852 2995 - TEXTIL RC LTDA 30/06/2025 LQ 177,52 177,52"
"Pago título: 2500000856 4503 - ASSOCIACAO IRMAS DA 30/06/2025 LQ 176,11 176,11"
"Pago título: 2500000858 1557 - SOCIEDADE DE INSTRUC 30/06/2025 LQ 175,06 175,06"
"Pago título: 2500000861 2234 - CONDOMINIO EDIFICIO 30/06/2025 LQ 174,71 174,71"
"Pago título: 2500000866 2677 - ARACAJU PARTICIPACOE 30/06/2025 LQ 173,39 173,39"
"Pago título: 2500000869 2898 - QUIMIGEL INDUSTRIA C 30/06/2025 LQ 173,25 173,25"
"Pago título: 2500000870 2648 - PLASTICOS MB LTDA 30/06/2025 LQ 172,88 172,88"
"Pago título: 2500000872 2787 - GOOD BOM SUPERMERCAD 30/06/2025 LQ 172,16 172,16"
"Pago título: 2500000874 35 - VALE DAS AGUAS COUNTRY 30/06/2025 LQ 169,4 169,4"
"Pago título: 2500000876 3613 - TREVO EMPREENDIMENTO 30/06/2025 LQ 169,4 169,4"
"Pago título: 2500000877 2498 - BEMARCO ESTRUTURAS L 30/06/2025 LQ 169,4 169,4"
"Pago título: 2500000888 1877 - METACAULIM DO BRASIL 30/06/2025 LQ 161,45 161,45"
"Pago título: 2500000890 3934 - GITEX  GASPARINI IND 30/06/2025 LQ 160,64 160,64"
"Pago título: 2500000893 3420 - CONDOMINIO INDUSTRIA 30/06/2025 LQ 160,12 160,12"
"Pago título: 2500000895 3110 - PLACIDO PAPALARDI 30/06/2025 LQ 159,89 159,89"
"Pago título: 2500000897 3361 - PESQUEIRO SANTO AGOS 30/06/2025 LQ 158,74 158,74"
"Pago título: 2500000898 3559 - LABOR GROUP EMPREEND 30/06/2025 LQ 157,73 157,73"
"Pago título: 2500000901 5335 - J MENEZES TERRAPLENA 30/06/2025 LQ 156,08 156,08"
"Pago título: 2500000904 2921 - POSTO SEIS DE JULHO 30/06/2025 LQ 155,07 155,07"
"Pago título: 2500000912 489 - ASSOC UNIAO BENEFIC I 30/06/2025 LQ 151,42 151,42"
"Pago título: 2500000914 3478 - MAHEI HOTEIS E TURIS 30/06/2025 LQ 149,36 149,36"
"Pago título: 2500000915 339 - LITOGRAFIA BANDEIRANT 30/06/2025 LQ 148,84 148,84"
"Pago título: 2500000922 4326 - CATARINA MARA DE PAU 30/06/2025 LQ 145,89 145,89"
"Pago título: 2500000926 6763 - CONDOMINIO RESIDENCI 30/06/2025 LQ 145,22 145,22"
"Pago título: 2500000929 3510 - IUZ QUIM INDUSTRIA Q 04/07/2025 LQ 143,95 143,95"
"Pago título: 2500000930 1391 - TREBOL BRASIL LTDA 30/06/2025 LQ 143,93 143,93"
"Pago título: 2500000942 1929 - AGRITECH LAVRALE S A 30/06/2025 LQ 140,21 140,21"
"Pago título: 2500000945 2163 - CONDOMINIO EDIFICIO 30/06/2025 LQ 138,67 138,67"
"Pago título: 2500000947 1911 - AUTO POSTO PETROPEN 30/06/2025 LQ 137,5 137,5"
"Pago título: 2500000949 2695 - SUEME INDUSTRIAL SA 30/06/2025 LQ 137,21 137,21"
"Pago título: 2500000950 3630 - ABDELNOR II COMERCIO 30/06/2025 LQ 136,71 136,71"
"Pago título: 2500000951 3166 - TENIS CLUBE 30/06/2025 LQ 136,71 136,71"
"Pago título: 2500000952 2758 - GOOD BOM SUPERMERCAD 30/06/2025 LQ 136,71 136,71"
"Pago título: 2500000954 1025 - CONDOMINIO SOLAR DOS 30/06/2025 LQ 135,79 135,79"
"Pago título: 2500000955 110 - SUNTECH SUPPLIES IND 30/06/2025 LQ 134,97 134,97"
"Pago título: 2500000956 5619 - BRIDGESTONE DO BRASI 30/06/2025 LQ 134,75 134,75"
"Pago título: 2500000961 5152 - MD04AT EMPREENDIMENT 30/06/2025 LQ 129,96 129,96"
"Pago título: 2500000972 4502 - ASSOCIACAO EDUCACION 30/06/2025 LQ 119,18 119,18"
"Pago título: 2500000973 364 - RAINHA INDUSTRIA E CO 30/06/2025 LQ 118,48 118,48"
"Pago título: 2500000975 1837 - AUTO POSTO ALVORADA 30/06/2025 LQ 118,35 118,35"
"Pago título: 2500000977 2542 - COOPERATIVA DE PRODU 30/06/2025 LQ 115,67 115,67"
"Pago título: 2500000980 2130 - SINEIO LUCIO SERAFIM 30/06/2025 LQ 111,52 111,52"
"Pago título: 2500000982 2857 - INTERCUF INDUSTRIA E 30/06/2025 LQ 109,88 109,88"
"Pago título: 2500000986 1735 - GRUTA DOS ANOES TURI 04/07/2025 LQ 105,4 105,4"
"Pago título: 2500000987 2918 - PIB PARQUES INDUSTRI 30/06/2025 LQ 105,16 105,16"
"Pago título: 2500000990 3460 - DONGWON BRASIL FABRI 30/06/2025 LQ 101,59 101,59"
"Pago título: 2500000996 3264 - SOUVIE COM IND IMPOR 30/06/2025 LQ 94,16 94,16"
"Pago título: 2500000997 2708 - MAILA COSMETICOS SA 30/06/2025 LQ 92,9 92,9"
"Pago título: 2500000998 1938 - CORPUS SANEAMENTO E 30/06/2025 LQ 91,14 91,14"
"Pago título: 2500001003 7334 - PRO MODA TEXTIL LTDA 30/06/2025 LQ 84,83 84,83"
"Pago título: 2500001004 3186 - ASSOC DOS PROPRIETAR 30/06/2025 LQ 84,37 84,37"
"Pago título: 2500001006 1098 - INDUSTRIAS TEXTEIS N 30/06/2025 LQ 80,97 80,97"
"Pago título: 2500001010 3724 - PREFEITURA MUNICIPAL 30/06/2025 LQ 70,91 70,91"
"Pago título: 2500001018 6772 - JUAN JOSE DE LA FUEN 30/06/2025 LQ 35,14 35,14"
"Pago título: 2500001023 7382 - EMBALIXO INDUSTRIA E 30/06/2025 LQ 298,94 298,94"
"Pago título: 2500001025 1476 - INNARA INDUSTRIA NAC 30/06/2025 LQ 297,82 297,82"
"Pago título: 2500001027 1856 - FERNANDO NAJI NAHAS 30/06/2025 LQ 296,5 296,5"
"Pago título: 2500001031 569 - ALCAR ABRASIVOS LTDA 30/06/2025 LQ 295,57 295,57"
"Pago título: 2500001037 7824 - IBIRAPUERA TEXTIL LT 30/06/2025 LQ 293,19 293,19"
"Pago título: 2500001049 4217 - ASSOC DOS PROPRIETAR 30/06/2025 LQ 292,76 292,76"
"Pago título: 2500001051 4696 - NEWSUL SA EMBALAGENS 30/06/2025 LQ 292,76 292,76"
"Pago título: 2500001055 5665 - ASSOCIACAO DEMOCRATI 30/06/2025 LQ 292,76 292,76"
"Pago título: 2500001057 5019 - ASSOC DOS PROPRIETAR 30/06/2025 LQ 292,76 292,76"
"Pago título: 2500001061 7858 - GNR PARK EMPREENDIME 30/06/2025 LQ 292,76 292,76"
"Pago título: 2500001075 2026 - SERRA DO SOL EMPREEN 30/06/2025 LQ 292,76 292,76"
"Pago título: 2500001081 4846 - CONDOMINIO RESIDENCI 30/06/2025 LQ 292,76 292,76"
"Pago título: 2500001093 285 - CAPIVARI CLUBE 30/06/2025 LQ 291,87 291,87"
"Pago título: 2500001095 4563 - RESIDENCIAL AUREA 30/06/2025 LQ 291,77 291,77"
"Pago título: 2500001099 3301 - COMERCIAL ANDRETA DE 30/06/2025 LQ 289,98 289,98"
"Pago título: 2500001103 1040 - CONJUNTO RESIDENCIAL 30/06/2025 LQ 287,25 287,25"
"Pago título: 2500001105 1863 - TEXTIL ELIANA LTDA 30/06/2025 LQ 285,95 285,95"
"Pago título: 2500001107 1699 - JRPH RESORT HOTEL PR 30/06/2025 LQ 285,44 285,44"
"Pago título: 2500001115 3776 - INDUSTRIA TEXTIL NOS 30/06/2025 LQ 278,74 278,74"
"Pago título: 2500001119 5605 - ASSOCIACAO MORADORES 30/06/2025 LQ 278,13 278,13"
"Pago título: 2500001121 5636 - QUIBRITA MINERADORA 30/06/2025 LQ 276,97 276,97"
"Pago título: 2500001123 5304 - EDIFICIO NOVAMERICA 30/06/2025 LQ 276,19 276,19"
"Pago título: 2500001131 3498 - RELAX MOTEL LTDA 30/06/2025 LQ 274,62 274,62"
"Pago título: 2500001133 7899 - ASSOCIACAO DOS PROPR 30/06/2025 LQ 274,27 274,27"
"Pago título: 2500001137 3072 - BAKELS BRASIL INGRED 30/06/2025 LQ 272,5 272,5"
"Pago título: 2500001140 5627 - SANCETUR  SANTA CECI 31/07/2025 LQ 272,5 272,5"
"Pago título: 2500001141 4597 - AGEU MESQUITA BARROS 30/06/2025 LQ 272,43 272,43"
"Pago título: 2500001145 7866 - CAPITAL MIX CONCRETO 30/06/2025 LQ 271,81 271,81"
"Pago título: 2500001149 1640 - MINERACAO RIGHI LTDA 30/06/2025 LQ 270,55 270,55"
"Pago título: 2500001153 2914 - COSMOS INDUSTRIA E C 30/06/2025 LQ 268,97 268,97"
"Pago título: 2500001155 3688 - ASSOC DOS PROPRIETAR 30/06/2025 LQ 266,41 266,41"
"Pago título: 2500001169 1868 - FORMIGAO COMERCIO DE 30/06/2025 LQ 263,49 263,49"
"Pago título: 2500001177 7848 - LUQUE EMPREENDIMENTO 30/06/2025 LQ 263,49 263,49"
"Pago título: 2500001181 584 - INSTITUTO SECULAR IRM 30/06/2025 LQ 262,77 262,77"
"Pago título: 2500001187 4489 - SANATORIO ISMAEL 30/06/2025 LQ 261,29 261,29"
"Pago título: 2500001195 1032 - CLUBE RECREATIVO FLO 30/06/2025 LQ 259,1 259,1"
"Pago título: 2500001201 3651 - CT AGROINDUSTRIA E C 30/06/2025 LQ 256,65 256,65"
"Pago título: 2500001203 4791 - ASSOC DOS MORADORES 30/06/2025 LQ 256,46 256,46"
"Pago título: 2500001211 7911 - ASSOCIACAO DOS PROPR 30/06/2025 LQ 256,04 256,04"
"Pago título: 2500001217 1769 - KREBSFER INDUSTRIAL 30/06/2025 LQ 255,3 255,3"
"Pago título: 2500001219 2938 - FRIBAL FRIGORIFICO B 30/06/2025 LQ 254,7 254,7"
"Pago título: 2500001221 1229 - ALBANO EMBALAGENS ES 30/06/2025 LQ 254,12 254,12"
"Pago título: 2500001223 7795 - SALTORELLI DO BRASIL 30/06/2025 LQ 253,01 253,01"
"Pago título: 2500001225 3320 - SAVEGNAGO SUPERMERCA 30/06/2025 LQ 252,75 252,75"
"Pago título: 2500001227 889 - INSTITUTO SALESIANO D 30/06/2025 LQ 252,27 252,27"
"Pago título: 2500001229 1860 - LEAL ROSA INDUSTRIA 30/06/2025 LQ 251,58 251,58"
"Pago título: 2500001235 2449 - CONDOMINIO OSATO 30/06/2025 LQ 250,82 250,82"
"Pago título: 2500001243 4873 - CONDOMINIO RESIDENCI 30/06/2025 LQ 248,85 248,85"
"Pago título: 2500001249 1998 - AUTO POSTO MORRO AZU 30/06/2025 LQ 248,85 248,85"
"Pago título: 2500001253 2579 - CLUBE DE REGATAS BAN 30/06/2025 LQ 247,25 247,25"
"Pago título: 2500001257 418 - RESIDENCIAL ALTO DOS 30/06/2025 LQ 246,46 246,46"
"Pago título: 2500001259 2842 - CONDOMINIO RESIDENCI 30/06/2025 LQ 246,37 246,37"
"Pago título: 2500001263 834 - BURIGOTTO SA INDUSTRI 30/06/2025 LQ 244,66 244,66"
"Pago título: 2500001273 1336 - NAHSA COMERCIO DE MA 30/06/2025 LQ 241,5 241,5"
"Pago título: 2500001279 1135 - BRASMIX ENGENHARIA D 30/06/2025 LQ 240,87 240,87"
"Pago título: 2500001283 3981 - OS DISTRIBUIDORA DE 30/06/2025 LQ 240,63 240,63"
"Pago título: 2500001289 5498 - CONDOMINIO A MONTANH 30/06/2025 LQ 237,87 237,87"
"Pago título: 2500001293 3530 - VIDRADOS BS INDUSTRI 30/06/2025 LQ 237,68 237,68"
"Pago título: 2500001295 2930 - JOSE TADEU COLETI E 30/06/2025 LQ 237,09 237,09"
"Pago título: 2500001297 1165 - ASSOCIACAO EDUCADORA 30/06/2025 LQ 236,36 236,36"
"Pago título: 2500001299 2876 - PARTLINE PARTICIPACO 30/06/2025 LQ 235,32 235,32"
"Pago título: 2500001303 7870 - SIKA SA 30/06/2025 LQ 234,34 234,34"
"Pago título: 2500001305 4794 - CARLOS ALFREDO PETER 30/06/2025 LQ 234,21 234,21"
"Pago título: 2500001311 1205 - LAR DOS VELHINHOS DE 30/06/2025 LQ 233,34 233,34"
"Pago título: 2500001313 3356 - PQA QUIMICA LTDA 30/06/2025 LQ 233,11 233,11"
"Pago título: 2500001321 3102 - HOTEIS SANTA ROSA LT 30/06/2025 LQ 230,06 230,06"
"Pago título: 2500001325 3242 - SAVEGNAGO SUPERMERCA 30/06/2025 LQ 229,52 229,52"
"Pago título: 2500001329 2811 - ASSOCIACAO DOS PROPR 04/07/2025 LQ 228,28 228,28"
"Pago título: 2500001351 1233 - GVS DO BRASIL LTDA 30/06/2025 LQ 220,19 220,19"
"Pago título: 2500001353 840 - UNIFRAX BRASIL LTDA 04/07/2025 LQ 219,87 219,87"
"Pago título: 2500001357 796 - EUFLOSINO DOMINGUES N 30/06/2025 LQ 219,57 219,57"
"Pago título: 2500001359 1605 - RONALDO MOISES 30/06/2025 LQ 219,57 219,57"
"Pago título: 2500001377 7752 - CONDOMINIO RESIDENCI 30/06/2025 LQ 219,57 219,57"
"Pago título: 2500001383 7299 - UNIQUE GARDEN EMPREE 30/06/2025 LQ 219,57 219,57"
"Pago título: 2500001387 5488 - ASSOCIACAO DOS PROPR 30/06/2025 LQ 219,57 219,57"
"Pago título: 2500001392 4961 - INDUSTRIA BRAIDO LTD 31/07/2025 LQ 219,57 219,57"
"Pago título: 2500001395 2294 - COMFRIO SOLUCOES LOG 30/06/2025 LQ 219,57 219,57"
"Pago título: 2500001396 2294 - COMFRIO SOLUCOES LOG 31/07/2025 LQ 219,57 219,57"
"Pago título: 2500001405 5563 - ANDRADE  LATORRE EMP 30/06/2025 LQ 219,57 219,57"
"Pago título: 2500001407 7892 - ASSOCIACAO AMIGOS DO 30/06/2025 LQ 219,57 219,57"
"Pago título: 2500001409 4689 - RIBEIRA EMPREENDIMEN 30/06/2025 LQ 219,57 219,57"
"Pago título: 2500001425 2739 - CRISTA INDUSTRIA E C 30/06/2025 LQ 218,36 218,36"
"Pago título: 2500001428 7219 - VALDIR APARECIDO DE 31/07/2025 LQ 217,31 217,31"
"Pago título: 2500001433 7904 - SUPERMERCADO DELTA M 30/06/2025 LQ 215,77 215,77"
"Pago título: 2500001439 3545 - TEXTIL CARUARU LTDA 30/06/2025 LQ 214,54 214,54"
"Pago título: 2500001445 1340 - INDUSTRIA DE BEBIDAS 30/06/2025 LQ 213,33 213,33"
"Pago título: 2500001451 6875 - FUNDACAO CENTRO DE A 30/06/2025 LQ 212,77 212,77"
"Pago título: 2500001461 3057 - NICOLETTI INDUSTRIA 30/06/2025 LQ 211,99 211,99"
"Pago título: 2500001473 2769 - ASSOCIACAO DE AMIGOS 30/06/2025 LQ 208,59 208,59"
"Pago título: 2500001477 7837 - CONDOMINIO PORTOFINO 30/06/2025 LQ 208,29 208,29"
"Pago título: 2500001483 1152 - JESUS TITO DA SILVA 30/06/2025 LQ 207,11 207,11"
"Pago título: 2500001485 4350 - ASSOCIACAO DOS CONDO 30/06/2025 LQ 207,11 207,11"
"Pago título: 2500001495 1185 - MINERADORA BARBARENS 30/06/2025 LQ 204,93 204,93"
"Pago título: 2500001505 5490 - CARMONA CERVEJARIA A 30/06/2025 LQ 203,88 203,88"
"Pago título: 2500001515 1604 - ASSOC ATLETICA PONTE 30/06/2025 LQ 202,8 202,8"
"Pago título: 2500001517 734 - GUSTAVO ADOLFO BAETA 30/06/2025 LQ 202,19 202,19"
"Pago título: 2500001523 2042 - CATION INDUSTRIA E C 04/07/2025 LQ 200,66 200,66"
"Pago título: 2500001525 5419 - TECTEXTIL EMBALAGENS 30/06/2025 LQ 265,97 265,97"
"Pago título: 2500001531 4137 - ALBERT SABIN HOSPITA 30/06/2025 LQ 264,24 264,24"
"Pago título: 2500001543 2076 - PH FIT  FITAS E INOV 04/07/2025 LQ 260,43 260,43"
"Pago título: 2500001561 990 - ASTRA SA INDUSTRIA E 30/06/2025 LQ 256,94 256,94"
"Pago título: 2500001570 2030 - GLOBALPACK INDUSTRIA 30/06/2025 LQ 255,3 255,3"
"Pago título: 2500001576 4109 - COND CENTRO DE LOGIS 30/06/2025 LQ 254,22 254,22"
"Pago título: 2500001600 2597 - TATU PREMOLDADOS LTD 30/06/2025 LQ 248,85 248,85"
"Pago título: 2500001609 2963 - FIBRILA TEXTILE LTDA 30/06/2025 LQ 246,78 246,78"
"Pago título: 2500001624 613 - PAULO AGNELO MALZONI 04/07/2025 LQ 243,97 243,97"
"Pago título: 2500001627 5011 - ASSOCIACAO DOS MORAD 30/06/2025 LQ 243,97 243,97"
"Pago título: 2500001666 4804 - FATIMA APARECIDA LAN 04/07/2025 LQ 243,97 243,97"
"Pago título: 2500001667 4804 - FATIMA APARECIDA LAN 31/07/2025 LQ 243,97 243,97"
"Pago título: 2500001668 4804 - FATIMA APARECIDA LAN 29/08/2025 LQ 243,97 243,97"
"Pago título: 2500001669 4582 - CAMPEAO 80 POSTOS DE 30/06/2025 LQ 243,97 243,97"
"Pago título: 2500001672 5439 - ASSOCIACAO DOS MORAD 30/06/2025 LQ 243,97 243,97"
"Pago título: 2500001678 1718 - HOTELARIA BRASIL LTD 30/06/2025 LQ 243,15 243,15"
"Pago título: 2500001687 7851 - HIPERMIX JUNDIAI SER 30/06/2025 LQ 240,74 240,74"
"Pago título: 2500001690 3065 - ELETROMEI INDUSTRIA 30/06/2025 LQ 240,56 240,56"
"Pago título: 2500001693 1482 - OLIVEIRA  OLIVEIRA 30/06/2025 LQ 240,3 240,3"
"Pago título: 2500001696 3177 - CONCREVIP CONCRETARI 30/06/2025 LQ 239,99 239,99"
"Pago título: 2500001705 7331 - KOLIBRI ADMINISTRACA 30/06/2025 LQ 239,1 239,1"
"Pago título: 2500001706 7331 - KOLIBRI ADMINISTRACA 31/07/2025 LQ 239,09 239,09"
"Pago título: 2500001707 7331 - KOLIBRI ADMINISTRACA 29/08/2025 LQ 239,09 239,09"
"Pago título: 2500001714 1905 - ITUPEVA HOTEIS CONVE 30/06/2025 LQ 238,18 238,18"
"Pago título: 2500001720 2517 - M TORETI 30/06/2025 LQ 237,74 237,74"
"Pago título: 2500001729 3678 - ASSOC DOS PROPR DO L 30/06/2025 LQ 234,74 234,74"
"Pago título: 2500001735 3211 - DENILSON BISPO 30/06/2025 LQ 234,22 234,22"
"Pago título: 2500001741 2438 - ASSOCIACAO SAO MIGUE 30/06/2025 LQ 234,22 234,22"
"Pago título: 2500001762 6791 - ASSOCIACAO DOS PROPR 30/06/2025 LQ 231,61 231,61"
"Pago título: 2500001765 3815 - CONDOMINIO AMABILIS 30/06/2025 LQ 231,56 231,56"
"Pago título: 2500001771 464 - NESTLE BRASIL LTDA 30/06/2025 LQ 231,47 231,47"
"Pago título: 2500001774 3684 - SOCIEDADE REGIONAL D 30/06/2025 LQ 230,92 230,92"
"Pago título: 2500001780 115 - MARELLI SISTEMAS AUTO 30/06/2025 LQ 230,37 230,37"
"Pago título: 2500001783 3734 - ASSOCIACAO DE PROP C 30/06/2025 LQ 230,3 230,3"
"Pago título: 2500001792 1014 - MINERACAO DIBASE PED 30/06/2025 LQ 228,2 228,2"
"Pago título: 2500001795 2666 - FUCHS GEWURZE DO BRA 30/06/2025 LQ 227,45 227,45"
"Pago título: 2500001798 4034 - LUCI AREIA LTDA ME 30/06/2025 LQ 226,61 226,61"
"Pago título: 2500001801 3030 - TEXTIL GL LTDA 30/06/2025 LQ 226,6 226,6"
"Pago título: 2500001804 2439 - GRAMADO MALL 30/06/2025 LQ 226,4 226,4"
"Pago título: 2500001805 2439 - GRAMADO MALL 31/07/2025 LQ 226,41 226,41"
"Pago título: 2500001806 2439 - GRAMADO MALL 29/08/2025 LQ 226,41 226,41"
"Pago título: 2500001813 737 - ROSILAINE DIONIZIO DA 30/06/2025 LQ 225,47 225,47"
"Pago título: 2500001816 4777 - ASSOCIACAO DOS FUNCI 30/06/2025 LQ 225,44 225,44"
"Pago título: 2500001825 1221 - NORQUIMA PRODUTOS QU 30/06/2025 LQ 222,67 222,67"
"Pago título: 2500001840 2664 - CONDOMINIO RESIDENCI 30/06/2025 LQ 220,05 220,05"
"Pago título: 2500001855 2169 - ASSOCIACAO DE PROPRI 30/06/2025 LQ 219,57 219,57"
"Pago título: 2500001870 3315 - ASSOCIACAO DOS PROP 30/06/2025 LQ 219,57 219,57"
"Pago título: 2500001873 2041 - COSMOPOLITANO FUTEBO 30/06/2025 LQ 219,32 219,32"
"Pago título: 2500001885 2219 - IRMAOS PARAZZI LTDA 30/06/2025 LQ 218,46 218,46"
"Pago título: 2500001888 482 - TAVARES PINHEIRO INDU 30/06/2025 LQ 217,79 217,79"
"Pago título: 2500001906 2582 - TEXTIL OMBORGO LTDA 30/06/2025 LQ 213,6 213,6"
"Pago título: 2500001909 3931 - MARCOS ANTONIO POLET 30/06/2025 LQ 213,2 213,2"
"Pago título: 2500001930 1317 - SUPERMERCADO TAQUARA 30/06/2025 LQ 210,17 210,17"
"Pago título: 2500001933 3171 - ANDORINHA COMERCIO E 30/06/2025 LQ 210,14 210,14"
"Pago título: 2500001951 1198 - ZUCOLLORS INDUSTRIA 30/06/2025 LQ 205,37 205,37"
"Pago título: 2500001963 2866 - CELSO LUIS BELLINI E 30/06/2025 LQ 203,41 203,41"
"Pago título: 2500001981 4507 - CONDOMINIO DAS AZALE 30/06/2025 LQ 200,63 200,63"
"Pago título: 2500001987 384 - PROMETAL BENEFICIAMEN 30/06/2025 LQ 200,17 200,17"
"Pago título: 2500001998 7867 - JRZ  SERRANO EMPREEN 30/06/2025 LQ 248,86 248,86"
"Pago título: 2500002010 3827 - STAVIAS SATANOSKI TE 04/07/2025 LQ 246,63 246,63"
"Pago título: 2500002014 1367 - ASSOCIACAO DE MELHOR 30/06/2025 LQ 245,2 245,2"
"Pago título: 2500002018 2749 - ASSOCIACAO MELHORAME 30/06/2025 LQ 245,04 245,04"
"Pago título: 2500002022 2051 - BISCOITONE INDUSTRIA 30/06/2025 LQ 244,2 244,2"
"Pago título: 2500002030 522 - CONDOMINIO RESIDENCIA 30/06/2025 LQ 241,14 241,14"
"Pago título: 2500002042 1892 - INBRA INDUSTRIAS QUI 30/06/2025 LQ 238,55 238,55"
"Pago título: 2500002046 1020 - CONDOMINIO RESIDENCI 30/06/2025 LQ 236,4 236,4"
"Pago título: 2500002050 4148 - CHRISTEYNS BRASIL PR 30/06/2025 LQ 236,05 236,05"
"Pago título: 2500002054 1092 - PREFEITURA MUNICIPAL 30/06/2025 LQ 235,89 235,89"
"Pago título: 2500002058 3162 - CONGE FRUTAS LTDA EP 30/06/2025 LQ 234,64 234,64"
"Pago título: 2500002070 7765 - ASS MOR DO LOTEAMENT 30/06/2025 LQ 234,22 234,22"
"Pago título: 2500002082 3771 - INDUSTRIA E COMERCIO 30/06/2025 LQ 233,04 233,04"
"Pago título: 2500002086 4093 - UNIVERSAL INDUSTRIAS 30/06/2025 LQ 232,93 232,93"
"Pago título: 2500002090 3288 - SELIAL IND E COM IMP 30/06/2025 LQ 231,88 231,88"
"Pago título: 2500002118 4407 - RODOPOSTO BANDEIRANT 30/06/2025 LQ 229,45 229,45"
"Pago título: 2500002122 450 - CONDOMINIO CHACARAS D 30/06/2025 LQ 229,09 229,09"
"Pago título: 2500002134 1597 - PREFEITURA MUNICIPAL 30/06/2025 LQ 226,27 226,27"
"Pago título: 2500002158 260 - SERVICO DE SAUDE DR C 30/06/2025 LQ 223,96 223,96"
"Pago título: 2500002159 260 - SERVICO DE SAUDE DR C 31/07/2025 LQ 223,97 223,97"
"Pago título: 2500002160 260 - SERVICO DE SAUDE DR C 29/08/2025 LQ 223,97 223,97"
"Pago título: 2500002161 260 - SERVICO DE SAUDE DR C 30/09/2025 LQ 223,97 223,97"
"Pago título: 2500002174 5433 - ANTONIO PEDRO CREMON 30/06/2025 LQ 219,56 219,56"
"Pago título: 2500002182 6890 - SP TINTAS E COMERCIO 30/06/2025 LQ 219,56 219,56"
"Pago título: 2500002190 1204 - PLASCAR INDUSTRIA DE 30/06/2025 LQ 219,56 219,56"
"Pago título: 2500002194 5048 - CR2 EMPREENDIMENTOS 30/06/2025 LQ 219,56 219,56"
"Pago título: 2500002202 5390 - LOLLY BABY PRODUTOS 30/06/2025 LQ 219,56 219,56"
"Pago título: 2500002206 3726 - SATOSHI ITO E OUTROS 30/06/2025 LQ 219,56 219,56"
"Pago título: 2500002218 5621 - CENTERANEL 1 PARTICI 30/06/2025 LQ 219,56 219,56"
"Pago título: 2500002230 4976 - ASTRA SA INDUSTRIA E 30/06/2025 LQ 219,56 219,56"
"Pago título: 2500002266 5635 - RECAP CONSTRUTORA E 30/06/2025 LQ 216,56 216,56"
"Pago título: 2500002270 3325 - GOODMAN ITUPEVA EMPR 30/06/2025 LQ 215,82 215,82"
"Pago título: 2500002274 3819 - ASSOCIACAO ADMINISTR 30/06/2025 LQ 215,39 215,39"
"Pago título: 2500002282 4534 - CONDOMINIO CIVIL CEN 30/06/2025 LQ 215,1 215,1"
"Pago título: 2500002294 2833 - CONDAT LUBRIFICANTES 30/06/2025 LQ 214,4 214,4"
"Pago título: 2500002298 1967 - PLASTICOS SANTANA LT 30/06/2025 LQ 214,07 214,07"
"Pago título: 2500002322 5468 - LUCIANO TORELLI E CI 30/06/2025 LQ 211,74 211,74"
"Pago título: 2500002326 3150 - QUARTZO MINERACAO LT 30/06/2025 LQ 211,74 211,74"
"Pago título: 2500002330 3596 - COEXPAN BRASIL EMBAL 30/06/2025 LQ 211,06 211,06"
"Pago título: 2500002342 5633 - IBIS AGRARIA LTDA 30/06/2025 LQ 210,8 210,8"
"Pago título: 2500002346 4835 - TRANSPORTES GABARDO 30/06/2025 LQ 210,8 210,8"
"Pago título: 2500002350 3946 - CAMPEAO 68 POSTO DE 30/06/2025 LQ 210,34 210,34"
"Pago título: 2500002362 1445 - SOCIEDADE DOS AMIGOS 30/06/2025 LQ 209,24 209,24"
"Pago título: 2500002366 7914 - TAUSTE SUPERMERCADOS 30/06/2025 LQ 209,14 209,14"
"Pago título: 2500002378 1228 - FERNANDES TEXTIL LTD 30/06/2025 LQ 207,49 207,49"
"Pago título: 2500002386 5517 - MUNICIPIO DE HORTOLA 30/06/2025 LQ 204,93 204,93"
"Pago título: 2500002390 1850 - DP  LF TRANSPORTES L 30/06/2025 LQ 204,93 204,93"
"Pago título: 2500002398 4895 - VYLLA EMPREENDIMENTO 30/06/2025 LQ 204,93 204,93"
