"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462042908202522354_id.ret"
""
"Cadastrado título novo: 9000008836 293 - OMAMORI INDUSTRIA DE 30/09/2025 RG 3454,85 0"
"Cadastrado título novo: 9000008837 932 - GREMIO RECR EMPREGADO 30/09/2025 RG 209,98 0"
"Cadastrado título novo: 9000008838 932 - GREMIO RECR EMPREGADO 31/10/2025 RG 209,98 0"
"Cadastrado título novo: 9000008839 932 - GREMIO RECR EMPREGADO 28/11/2025 RG 209,98 0"
"Cadastrado título novo: 9000008840 932 - GREMIO RECR EMPREGADO 31/12/2025 RG 209,98 0"
"Pago título: 2500004171 43 - CONDOMINIO RESIDENCIAL 29/08/2025 LQ 1693,86 1693,86"
"Pago título: 2500004178 246 - 3M DO BRASIL LTDA 29/08/2025 LQ 1678,78 1678,78"
"Pago título: 2500004185 7817 - DELTA INDUSTRIA CERA 29/08/2025 LQ 1673,48 1673,48"
"Pago título: 2500004192 6923 - PAULO CASTEJON GUERR 29/08/2025 LQ 1672,95 1672,95"
"Pago título: 2500004199 357 - CONDOMINIO VILLE DE C 29/08/2025 LQ 1649,35 1649,35"
"Pago título: 2500004206 184 - TECELAGEM JOLITEX LTD 29/08/2025 LQ 1632,83 1632,83"
"Pago título: 2500004213 1055 - CARTONIFICIO VALINHO 29/08/2025 LQ 1582,47 1582,47"
"Pago título: 2500004234 1074 - CIA SANEAMENTO BASIC 29/08/2025 LQ 1529,64 1529,64"
"Pago título: 2500004248 3535 - JOFEGE FIACAO E TECE 29/08/2025 LQ 1524,61 1524,61"
"Pago título: 2500004262 1136 - VILLARES METALS SA 29/08/2025 LQ 1472,22 1472,22"
"Pago título: 2500004269 2750 - SERVICO AUTONOMO DE 29/08/2025 LQ 1426,3 1426,3"
"Pago título: 2500004283 3196 - CEDASA INDUSTRIA E C 29/08/2025 LQ 1406,28 1406,28"
"Pago título: 2500004304 1809 - ASSOCIACAO RESIDENCI 29/08/2025 LQ 1384,04 1384,04"
"Pago título: 2500004332 903 - MINASA TRADING INTERN 29/08/2025 LQ 1334,7 1334,7"
"Pago título: 2500004339 505 - ASSOCIACAO AMIGOS DO 29/08/2025 LQ 1280,55 1280,55"
"Pago título: 2500004354 4330 - CPD LOCADORA DE VEIC 30/09/2025 LQ 1254,71 1254,71"
"Pago título: 2500004355 4330 - CPD LOCADORA DE VEIC 31/10/2025 LQ 1254,71 1254,71"
"Pago título: 2500004367 886 - PROVIDER INDUSTRIA E 29/08/2025 LQ 1252,9 1252,9"
"Pago título: 2500004388 211 - FERNANDEZ SA INDUSTRI 29/08/2025 LQ 1247,74 1247,74"
"Pago título: 2500004402 507 - TINTURARIA UNIVERSO L 29/08/2025 LQ 1226,31 1226,31"
"Pago título: 2500004409 2740 - EUCATEX INDUSTRIA E 29/08/2025 LQ 1205,52 1205,52"
"Pago título: 2500004416 490 - SAINTGOBAIN DO BRASIL 29/08/2025 LQ 1189,85 1189,85"
"Pago título: 2500004423 1001 - CIA SANEAMENTO BASIC 29/08/2025 LQ 1179,35 1179,35"
"Pago título: 2500004437 7790 - BRAINFARMA INDUSTRIA 29/08/2025 LQ 1171,94 1171,94"
"Pago título: 2500004451 203 - TINTURARIA E ESTAMPAR 29/08/2025 LQ 1151,18 1151,18"
"Pago título: 2500004458 1143 - CASTELO ALIMENTOS SA 29/08/2025 LQ 1145,47 1145,47"
"Pago título: 2500004465 3857 - CRS MINERACAO INDUST 29/08/2025 LQ 1139,56 1139,56"
"Pago título: 2500004479 3111 - BRASWELL PAPEL E CEL 29/08/2025 LQ 1131,25 1131,25"
"Pago título: 2500004486 888 - INCOPISOS INDUSTRIA E 29/08/2025 LQ 1129,24 1129,24"
"Pago título: 2500004514 5628 - SAFRA INDUSTRIA E CO 29/08/2025 LQ 1087,42 1087,42"
"Pago título: 2500004535 7226 - ASSOCIACAO DE MORADO 29/08/2025 LQ 1052,91 1052,91"
"Pago título: 2500004563 7813 - EMPREEND IMOB JARDIM 29/08/2025 LQ 1045,59 1045,59"
"Pago título: 2500004577 1567 - RPR CAPTACAO E TRANS 29/08/2025 LQ 1043,04 1043,04"
"Pago título: 2500004584 1004 - BRANYL COMERCIO E IN 29/08/2025 LQ 1028,19 1028,19"
"Pago título: 2500004626 281 - BIO SPRINGER DO BRASI 29/08/2025 LQ 974,06 974,06"
"Pago título: 2500004633 1120 - MOTOROLA MOBILITY CO 29/08/2025 LQ 966,13 966,13"
"Pago título: 2500004647 480 - PAPIRUS INDUSTRIA DE 29/08/2025 LQ 964,76 964,76"
"Pago título: 2500004668 375 - CAPUAVA SA INDUSTRIA 29/08/2025 LQ 932,98 932,98"
"Pago título: 2500004682 3310 - ELDER COSTA RODRIGUE 29/08/2025 LQ 928,89 928,89"
"Pago título: 2500004689 2170 - ISOTERM INDUSTRIA E 29/08/2025 LQ 927,5 927,5"
"Pago título: 2500004696 191 - COOPERATIVA NOVA ESPE 29/08/2025 LQ 926,73 926,73"
"Pago título: 2500004703 917 - BMB BELGO MINEIRA BEK 29/08/2025 LQ 920,76 920,76"
"Pago título: 2500004710 312 - FIACAO ALPINA LTDA 29/08/2025 LQ 910,16 910,16"
"Pago título: 2500004717 7890 - ASSOC PROPRIET LOT V 29/08/2025 LQ 907,62 907,62"
"Pago título: 2500004731 2747 - SINTO BRASIL PRODUTO 29/08/2025 LQ 892,94 892,94"
"Pago título: 2500004745 939 - LEF PISOS E REVESTIME 29/08/2025 LQ 879,95 879,95"
"Pago título: 2500004752 1818 - MARLES INDUSTRIA TEX 29/08/2025 LQ 874,87 874,87"
"Pago título: 2500004773 7321 - COMPANHIA DE SANEAME 29/08/2025 LQ 853,21 853,21"
"Pago título: 2500004780 946 - HOTEL CAMPING ESTANCI 29/08/2025 LQ 853,21 853,21"
"Pago título: 2500004787 461 - JRM  PARTICIPACOES LT 29/08/2025 LQ 852,41 852,41"
"Pago título: 2500004794 1429 - ASSOCIACAO ADMINISTR 29/08/2025 LQ 849,02 849,02"
"Pago título: 2500004801 1592 - MICROSAL INDUSTRIA E 29/08/2025 LQ 848,6 848,6"
"Pago título: 2500004808 7372 - MUNICIPIO DE RIO DAS 29/08/2025 LQ 847,48 847,48"
"Pago título: 2500004871 7812 - TEXTIL OMBORGO LTDA 29/08/2025 LQ 823,18 823,18"
"Pago título: 2500004913 909 - FLEX PARQUE EMPRESARI 29/08/2025 LQ 800,93 800,93"
"Pago título: 2500004934 981 - PIRACAIA IND E COM EX 29/08/2025 LQ 783,97 783,97"
"Pago título: 2500004983 2910 - CHACARAS LONG ISLAND 29/08/2025 LQ 751,83 751,83"
"Pago título: 2500004990 2175 - INDUSTRIA E COMERCIO 29/08/2025 LQ 751,08 751,08"
"Pago título: 2500005011 1193 - TEXTIL CANATIBA LTDA 29/08/2025 LQ 745,05 745,05"
"Pago título: 2500005018 223 - VIVA PISOS E REVESTIM 29/08/2025 LQ 739,45 739,45"
"Pago título: 2500005025 324 - DEDINI SA INDUSTRIAS 29/08/2025 LQ 735,92 735,92"
"Pago título: 2500005032 503 - FLAMBOIA ALIMENTOS LT 29/08/2025 LQ 733,39 733,39"
"Pago título: 2500005053 7707 - SORVETES JUNDIA INDU 29/08/2025 LQ 726,31 726,31"
"Pago título: 2500005067 390 - TOYOBO DO BRASIL LTDA 29/08/2025 LQ 721,41 721,41"
"Pago título: 2500005081 3662 - ASSOCIACAO RESIDENCI 29/08/2025 LQ 704,73 704,73"
"Pago título: 2500005123 7908 - FUNDACAO ANTONIO ANT 29/08/2025 LQ 678,44 678,44"
"Pago título: 2500005137 2284 - AGUA VIDA TRANSPORTE 29/08/2025 LQ 669,18 669,18"
"Pago título: 2500005151 111 - ASSOCIACAO MORADORES 29/08/2025 LQ 669,18 669,18"
"Pago título: 2500005179 4786 - SEARA ALIMENTOS LTDA 29/08/2025 LQ 648,27 648,27"
"Pago título: 2500005186 455 - TBK MINERACAO LTDA 29/08/2025 LQ 647,01 647,01"
"Pago título: 2500005193 52 - ASSOCIACAO DOS PROPRIE 29/08/2025 LQ 643,05 643,05"
"Pago título: 2500005228 2331 - STONE BUILDING INDUS 29/08/2025 LQ 639,23 639,23"
"Pago título: 2500005235 3345 - SAO PAULO SECRETARIA 29/08/2025 LQ 636,59 636,59"
"Pago título: 2500005249 356 - ESTANCIA ARVORE DA VI 29/08/2025 LQ 634,44 634,44"
"Pago título: 2500005256 25 - EXTRACAO E COMERCIO DE 29/08/2025 LQ 632,29 632,29"
"Pago título: 2500005277 5168 - NEWPOP INDUSTRIA QUI 29/08/2025 LQ 627,36 627,36"
"Pago título: 2500005284 7809 - FONTE CIDADE AZUL DE 29/08/2025 LQ 626,31 626,31"
"Pago título: 2500005305 1139 - HOPI HARI SA 29/08/2025 LQ 617,91 617,91"
"Pago título: 2500005333 1846 - COMPANHIA NACIONAL D 29/08/2025 LQ 611,93 611,93"
"Pago título: 2500005361 3491 - H2ORA DISTRIBUIDORA 29/08/2025 LQ 606,33 606,33"
"Pago título: 2500005389 7799 - CELLIER ALIMENTOS DO 29/08/2025 LQ 592,91 592,91"
"Pago título: 2500005417 2464 - SPARTAN DO BRASIL PR 29/08/2025 LQ 586,79 586,79"
"Pago título: 2500005466 2474 - DE MARCHI INDUSTRIA 29/08/2025 LQ 573,19 573,19"
"Pago título: 2500005473 7898 - GODOI AGUA E POCOS E 29/08/2025 LQ 572,01 572,01"
"Pago título: 2500005515 2074 - SALTORELLI TINTURARI 29/08/2025 LQ 551,77 551,77"
"Pago título: 2500005522 5560 - WT NEGOCIOS IMOBILIA 29/08/2025 LQ 550,4 550,4"
"Pago título: 2500005529 34 - CONDOMINIO BOUGAINVILL 29/08/2025 LQ 548,95 548,95"
"Pago título: 2500005543 2348 - RAUL FERREIRA LEITE 29/08/2025 LQ 543,71 543,71"
"Pago título: 2500005550 4116 - TARTALIA EMPREENDIME 29/08/2025 LQ 543,71 543,71"
"Pago título: 2500005564 7916 - CORR PLASTIK SISTEMA 29/08/2025 LQ 542,99 542,99"
"Pago título: 2500005571 4288 - PTM AGRICOLA E PARTI 29/08/2025 LQ 539,18 539,18"
"Pago título: 2500005592 432 - ASSOCIACAO PROPRIETAR 29/08/2025 LQ 523,95 523,95"
"Pago título: 2500005599 1689 - AJINOMOTO DO BRASIL 29/08/2025 LQ 522,81 522,81"
"Pago título: 2500005613 924 - CONDOMINIO CHACARAS M 29/08/2025 LQ 519,92 519,92"
"Pago título: 2500005620 142 - SOCIEDADE DE MELHORAM 29/08/2025 LQ 519,87 519,87"
"Pago título: 2500005627 5418 - SAMUEL SAMPAIO TOCAL 29/08/2025 LQ 517,85 517,85"
"Pago título: 2500005634 1274 - GUAINUMBY TEXTIL LTD 29/08/2025 LQ 517,54 517,54"
"Pago título: 2500005648 24 - ASSOCIACAO DOS PROPRIE 29/08/2025 LQ 515,75 515,75"
"Pago título: 2500005655 163 - SABARA QUIMICOS E ING 29/08/2025 LQ 513,93 513,93"
"Pago título: 2500005662 2952 - EXTRACAO E COMERCIO 29/08/2025 LQ 509,07 509,07"
"Pago título: 2500005683 237 - IPLASA  INDUSTRIA E C 29/08/2025 LQ 501,89 501,89"
"Pago título: 2500005690 3637 - PICOLI  CARRARA COME 29/08/2025 LQ 501,89 501,89"
"Pago título: 2500005697 297 - CERAMICA CRISTOFOLETT 29/08/2025 LQ 501,89 501,89"
"Pago título: 2500005711 5040 - CONDOMINIO GARNET 29/08/2025 LQ 501,89 501,89"
"Pago título: 2500005718 4862 - PSS DE CAMARGO SERVI 29/08/2025 LQ 501,89 501,89"
"Pago título: 2500005746 1750 - PREFEITURA MUNICIPAL 29/08/2025 LQ 492,74 492,74"
"Pago título: 2500005753 1050 - CIA SANEAMENTO BASIC 29/08/2025 LQ 492,65 492,65"
"Pago título: 2500005760 3992 - HOTEL FAZENDA HARAS 29/08/2025 LQ 489,34 489,34"
"Pago título: 2500005774 3666 - RAUL FERREIRA LEITE 29/08/2025 LQ 480,97 480,97"
"Pago título: 2500005781 844 - COIM BRASIL LTDA 29/08/2025 LQ 477,53 477,53"
"Pago título: 2500005788 3365 - MALIBER INDUSTRIA E 29/08/2025 LQ 476,26 476,26"
"Pago título: 2500005809 4784 - ASSOCIACAO DOS PROPR 29/08/2025 LQ 470,52 470,52"
"Pago título: 2500005823 4361 - RAUL FERREIRA LEITE 29/08/2025 LQ 460,06 460,06"
"Pago título: 2500005830 3453 - CERAMICA SAVANE LTDA 29/08/2025 LQ 457,72 457,72"
"Pago título: 2500005851 1547 - SOCER BRASIL INDUSTR 29/08/2025 LQ 450,8 450,8"
"Pago título: 2500005872 1148 - ARCELOR MITTAL GONVA 29/08/2025 LQ 450,46 450,46"
"Pago título: 2500005886 3253 - COPASIL QUIMICA INDU 29/08/2025 LQ 443,16 443,16"
"Pago título: 2500005900 2981 - VIVA PISOS E REVESTI 29/08/2025 LQ 439,15 439,15"
"Pago título: 2500005907 2239 - CERAMICA RAMOS LTDA 29/08/2025 LQ 439,04 439,04"
"Pago título: 2500005914 1618 - NAZATO PIRACICABA TR 29/08/2025 LQ 437,43 437,43"
"Pago título: 2500005921 7764 - ASSOCIACAO BUSINESS 29/08/2025 LQ 431,79 431,79"
"Pago título: 2500005935 4779 - FUNDACAO CENTRO DE A 29/08/2025 LQ 429,53 429,53"
"Pago título: 2500005942 152 - SOCIEDADE AMIGOS DO R 29/08/2025 LQ 428,69 428,69"
"Pago título: 2500005963 7841 - COND CIVIL VOLUNTARI 29/08/2025 LQ 423,17 423,17"
"Pago título: 2500005970 1091 - DEPARTAMENTO DE AGUA 29/08/2025 LQ 422,33 422,33"
"Pago título: 2500005984 1692 - LALLEMAND SOLUCOES B 29/08/2025 LQ 418,84 418,84"
"Pago título: 2500006026 7733 - ASSOC PROP LOT FECH 29/08/2025 LQ 418,24 418,24"
"Pago título: 2500006033 4631 - AGROPECUARIA CAPUAVA 29/08/2025 LQ 418,24 418,24"
"Pago título: 2500006040 7906 - TRANENGE CONSTRUCOES 29/08/2025 LQ 418,24 418,24"
"Pago título: 2500006068 6692 - CONDOMINIO EMPRESARI 29/08/2025 LQ 416,98 416,98"
"Pago título: 2500006075 1246 - CLUBE JUNDIAIENSE 29/08/2025 LQ 416,36 416,36"
"Pago título: 2500006096 2906 - TRANSPORTADORA H2O L 29/08/2025 LQ 414,04 414,04"
"Pago título: 2500006103 6966 - TONINPAR EMPREENDIME 29/08/2025 LQ 413,63 413,63"
"Pago título: 2500006110 7159 - FLAVOUR MIX INDUSTRI 29/08/2025 LQ 412,39 412,39"
"Pago título: 2500006124 2083 - HANIER ESPECIALIDADE 29/08/2025 LQ 408,38 408,38"
"Pago título: 2500006138 1459 - CIA SANEAMENTO BASIC 29/08/2025 LQ 407,96 407,96"
"Pago título: 2500006152 938 - MIRACEMA NUODEX INDUS 29/08/2025 LQ 407,01 407,01"
"Pago título: 2500006166 2773 - SOCIEDADE DE ARMAZEN 29/08/2025 LQ 403,01 403,01"
"Pago título: 2500006187 1456 - ASSOC DOS PROP DO LO 29/08/2025 LQ 397,33 397,33"
"Pago título: 2500006201 932 - GREMIO RECR EMPREGADO 29/08/2025 LQ 395,69 395,69"
"Pago título: 2500006208 1465 - BBC INDUSTRIA E COME 29/08/2025 LQ 386,09 386,09"
"Pago título: 2500006215 5694 - R BOQUINO TRANSPORTE 29/08/2025 LQ 384,45 384,45"
"Pago título: 2500006243 1813 - MAXLAV LAVANDERIA ES 29/08/2025 LQ 379,53 379,53"
"Pago título: 2500006264 1477 - JETFIO INDUSTRIA TEX 29/08/2025 LQ 377,22 377,22"
"Pago título: 2500006292 426 - RUY R DA ROCHA PRODUT 29/08/2025 LQ 376,41 376,41"
"Pago título: 2500006306 1243 - ASSOCIACAO PROPRIETA 29/08/2025 LQ 376,41 376,41"
"Pago título: 2500006320 545 - SOCIEDADE DE PROPRIET 29/08/2025 LQ 376,36 376,36"
"Pago título: 2500006327 2901 - AGUA RICA LTDA 29/08/2025 LQ 374,09 374,09"
"Pago título: 2500006334 3221 - LIMEIRENSE FERTILIZA 29/08/2025 LQ 370,09 370,09"
"Pago título: 2500006341 2665 - ASSOC DOS PROPRIET D 29/08/2025 LQ 369,47 369,47"
"Pago título: 2500006362 5545 - COOPERATIVA VEILING 29/08/2025 LQ 365,12 365,12"
"Pago título: 2500006390 69 - PLASTEK DO BRASIL INDU 29/08/2025 LQ 363,24 363,24"
"Pago título: 2500006397 3696 - AGUAS DE CAMPINAS TR 29/08/2025 LQ 357,59 357,59"
"Pago título: 2500006411 3694 - SANDMIX MINERACAO LT 29/08/2025 LQ 357,51 357,51"
"Pago título: 2500006425 2172 - FARMINA PET FOODS BR 29/08/2025 LQ 356,68 356,68"
"Pago título: 2500006439 1591 - TQA INDUSTRIA E COME 29/08/2025 LQ 355,5 355,5"
"Pago título: 2500006446 7871 - ASS PROP LOT CONDOMI 29/08/2025 LQ 355,5 355,5"
"Pago título: 2500006453 46 - ASSOCIACAO DE MORADORE 29/08/2025 LQ 355,5 355,5"
"Pago título: 2500006481 182 - UNIPEL INDUSTRIA E CO 29/08/2025 LQ 345,95 345,95"
"Pago título: 2500006516 5323 - ERCA INDUSTRIA E COM 29/08/2025 LQ 341,09 341,09"
"Pago título: 2500006537 7797 - JD RES P DAS LARANJE 29/08/2025 LQ 338,9 338,9"
"Pago título: 2500006551 262 - INDUSTRIA CAMPINEIRA 29/08/2025 LQ 338,77 338,77"
"Pago título: 2500006600 985 - CONDOMINIO FAZENDA DU 29/08/2025 LQ 335,06 335,06"
"Pago título: 2500006670 3480 - MEDI HOUSE IND E COM 29/08/2025 LQ 332,65 332,65"
"Pago título: 2500006677 1902 - KENJI EXTRACAO E COM 29/08/2025 LQ 331,5 331,5"
"Pago título: 2500006712 7704 - ASS DOS PROPRIETARIO 29/08/2025 LQ 326,86 326,86"
"Pago título: 2500006719 2745 - CONDOMINIO DO SHOPPI 29/08/2025 LQ 326,44 326,44"
"Pago título: 2500006733 3397 - PREFEITURA MUNICIPAL 29/08/2025 LQ 325,38 325,38"
"Pago título: 2500006740 7715 - CHT BRASIL QUIMICA L 29/08/2025 LQ 324,89 324,89"
"Pago título: 2500006741 7715 - CHT BRASIL QUIMICA L 30/09/2025 LQ 324,89 324,89"
"Pago título: 2500006742 7715 - CHT BRASIL QUIMICA L 31/10/2025 LQ 324,89 324,89"
"Pago título: 2500006743 7715 - CHT BRASIL QUIMICA L 28/11/2025 LQ 324,89 324,89"
"Pago título: 2500006744 7715 - CHT BRASIL QUIMICA L 19/12/2025 LQ 324,89 324,89"
"Pago título: 2500006775 1676 - CASSOL PRE FABRICADO 29/08/2025 LQ 321,76 321,76"
"Pago título: 2500006789 7826 - SANT ANA ANALANDIA E 29/08/2025 LQ 321,36 321,36"
"Pago título: 2500006810 852 - ECOFABRIL INDUSTRIA E 29/08/2025 LQ 318 318"
"Pago título: 2500006817 1085 - YAKULT SA INDUSTRIA 29/08/2025 LQ 316,6 316,6"
"Pago título: 2500006852 5803 - ASSOCIACAO DOS AMIGO 29/08/2025 LQ 313,68 313,68"
"Pago título: 2500006866 7843 - CERAMICA ALMEIDA LTD 29/08/2025 LQ 313,68 313,68"
"Pago título: 2500006873 7878 - CINEXPAN IND E COMER 29/08/2025 LQ 313,68 313,68"
"Pago título: 2500006887 1144 - ASSOCIACAO PROPRIET 29/08/2025 LQ 313,68 313,68"
"Pago título: 2500006950 1313 - KIKKOMAN DO BRASIL I 29/08/2025 LQ 302,07 302,07"
"Pago título: 2500006978 7126 - ASSOCIACAO DOS PROPR 29/08/2025 LQ 301,13 301,13"
"Pago título: 2500006985 3514 - CERAMICA GRESCA G3 L 29/08/2025 LQ 301,13 301,13"
"Pago título: 2500006992 5805 - QUIBRITA MINERADORA 29/08/2025 LQ 300,79 300,79"
"Pago título: 2500007020 166 - BRF  BRASIL FOODS SA 29/08/2025 LQ 296,69 296,69"
"Pago título: 2500007034 3679 - CMR INDUSTRIA E COME 29/08/2025 LQ 294,67 294,67"
"Pago título: 2500007041 1701 - TINTURARIA E ESTAMPA 29/08/2025 LQ 294,55 294,55"
"Pago título: 2500007055 68 - ASSOCIACAO GREEN VILLA 29/08/2025 LQ 293,91 293,91"
"Pago título: 2500007062 7896 - ASSOC DOS PROP DO LO 29/08/2025 LQ 293,6 293,6"
"Pago título: 2500007090 1976 - SOL INVEST EMPREENDI 29/08/2025 LQ 291,16 291,16"
"Pago título: 2500007097 2814 - REAL INDUSTRIA E COM 29/08/2025 LQ 290,85 290,85"
"Pago título: 2500007125 7885 - ASSOC DOS PROPRIETAR 29/08/2025 LQ 289 289"
"Pago título: 2500007132 6366 - SOCIEDADE AGOSTINIAN 29/08/2025 LQ 288,85 288,85"
"Pago título: 2500007139 2897 - REQUIPH METALURGICA 29/08/2025 LQ 288,76 288,76"
"Pago título: 2500007160 7835 - ASSOC DOS PROPRIETAR 29/08/2025 LQ 287,61 287,61"
"Pago título: 2500007167 1830 - SUOMINEN BRASIL INDU 29/08/2025 LQ 285,87 285,87"
"Pago título: 2500007188 3 - CONDOMINIO RESIDENCIAL 29/08/2025 LQ 281,35 281,35"
"Pago título: 2500007195 1990 - PEDREIRA FAZENDA VEL 29/08/2025 LQ 280,17 280,17"
"Pago título: 2500007223 7877 - ASSOCIACAO PARQUE RE 29/08/2025 LQ 271,86 271,86"
"Pago título: 2500007237 2962 - CONDOMINIO VITORIA D 29/08/2025 LQ 271,02 271,02"
"Pago título: 2500007244 1603 - OLIVEIRA  LOPES LTDA 29/08/2025 LQ 269,79 269,79"
"Pago título: 2500007251 4827 - BOM PEIXE INDUSTRIA 29/08/2025 LQ 267,67 267,67"
"Pago título: 2500007272 7804 - ASSOC DOS PROP DE LO 29/08/2025 LQ 263,12 263,12"
"Pago título: 2500007286 7895 - MPW ASSESSORIA EM LA 29/08/2025 LQ 257,34 257,34"
"Pago título: 2500007293 2575 - LUBRASIL LUBRIFICANT 29/08/2025 LQ 256,28 256,28"
"Pago título: 2500007300 1033 - CCS TECNOLOGIA E SER 29/08/2025 LQ 255,45 255,45"
"Pago título: 2500007321 3720 - JL PAULO  CIA LTDA 29/08/2025 LQ 253,58 253,58"
"Pago título: 2500007328 7754 - MAT EQUIPAMENTOS PAR 29/08/2025 LQ 253,06 253,06"
"Pago título: 2500007377 3107 - RUY R DA ROCHA PRODU 29/08/2025 LQ 250,94 250,94"
"Pago título: 2500007384 73 - NARDINI PISOS E REVEST 29/08/2025 LQ 250,94 250,94"
"Pago título: 2500007391 4356 - CONDOMINIO RESIDENCI 29/08/2025 LQ 250,94 250,94"
"Pago título: 2500007398 7863 - VF 16 ELDORADO SPE L 29/08/2025 LQ 250,94 250,94"
"Pago título: 2500007412 1173 - MASTERCOR BENEFICIAM 29/08/2025 LQ 250,74 250,74"
"Pago título: 2500007426 183 - TEXTIL BASSETO LTDA 29/08/2025 LQ 248,81 248,81"
"Pago título: 2500007447 4916 - CLUBE ATLETICO VALIN 29/08/2025 LQ 246,87 246,87"
"Pago título: 2500007454 4485 - PARQUE DOS EUCALIPTO 29/08/2025 LQ 246,55 246,55"
"Pago título: 2500007496 1609 - GRANITEC IND E COM D 29/08/2025 LQ 244,32 244,32"
"Pago título: 2500007517 2293 - BRUNO NICOLETTI TECI 29/08/2025 LQ 242,62 242,62"
"Pago título: 2500007524 7860 - R  S EMPREENDIMENTOS 29/08/2025 LQ 242,58 242,58"
"Pago título: 2500007531 7864 - PEDREIRA FAZENDA VEL 29/08/2025 LQ 241,49 241,49"
"Pago título: 2500007538 5606 - AROMA BIOENERGIA LTD 29/08/2025 LQ 241,16 241,16"
"Pago título: 2500007545 1885 - A PRESS TRANSPORTES 29/08/2025 LQ 240,9 240,9"
"Pago título: 2500007552 896 - PREFEITURA MUNICIPAL 29/08/2025 LQ 239,15 239,15"
"Pago título: 2500007559 7822 - ASSOC CONDOMINIOS RE 29/08/2025 LQ 239,11 239,11"
"Pago título: 2500007566 4059 - ATI GEL FRUTAS CONGE 29/08/2025 LQ 234,94 234,94"
"Pago título: 2500007594 3097 - CISOL DO BRASIL EXPO 29/08/2025 LQ 230,55 230,55"
"Pago título: 2500007601 2988 - K  G INDUSTRIA E COM 29/08/2025 LQ 230,26 230,26"
"Pago título: 2500007608 604 - ASSOCIACAO RESIDENCIA 29/08/2025 LQ 230,03 230,03"
"Pago título: 2500007615 2168 - EMEPE INDUSTRIA GRAF 29/08/2025 LQ 230,03 230,03"
"Pago título: 2500007636 5303 - ASSOCIACAO DOS MORAD 29/08/2025 LQ 225,85 225,85"
"Pago título: 2500007650 4479 - PERFORM PARTICIPACOE 29/08/2025 LQ 225,63 225,63"
"Pago título: 2500007657 5409 - TATIANA CRISTINA DE 29/08/2025 LQ 225,32 225,32"
"Pago título: 2500007678 202 - NOVA PLAST IND E COM 29/08/2025 LQ 224,64 224,64"
"Pago título: 2500007692 2196 - ASSOCIACAO CIVIL PAR 29/08/2025 LQ 223,22 223,22"
"Pago título: 2500007734 1993 - CABLENA DO BRASIL LT 29/08/2025 LQ 220 220"
"Pago título: 2500007741 2082 - COLORFLEX ESTAMPARIA 29/08/2025 LQ 219,63 219,63"
"Pago título: 2500007748 7027 - ETIQUETTA BRANCA IND 29/08/2025 LQ 218,85 218,85"
"Pago título: 2500007755 1130 - BRASALIMENT INDUSTRI 29/08/2025 LQ 218,23 218,23"
"Pago título: 2500007776 1870 - MALIBER INDUSTRIA E 29/08/2025 LQ 213,3 213,3"
"Pago título: 2500007783 7740 - ASSOC DOS MORADORES 29/08/2025 LQ 212,83 212,83"
"Pago título: 2500007790 1652 - RICLAN SA 29/08/2025 LQ 212,81 212,81"
"Pago título: 2500007811 3328 - EXPRESSO CAMPIBUS LT 29/08/2025 LQ 210,16 210,16"
"Pago título: 2500007832 680 - JOSE EDUARDO ANNICCHI 29/08/2025 LQ 209,12 209,12"
"Pago título: 2500007846 3212 - PEDREIRA NOGUEIRENSE 29/08/2025 LQ 209,12 209,12"
"Pago título: 2500007860 2881 - SERVICO DE AGUA E ES 29/08/2025 LQ 209,12 209,12"
"Pago título: 2500007902 2028 - TERMOTECNICA LTDA 29/08/2025 LQ 209,12 209,12"
"Pago título: 2500007909 3094 - RENATO PASSARIN  FIL 29/08/2025 LQ 209,12 209,12"
"Pago título: 2500007916 3592 - CONDOMINIO LAGOS SHA 29/08/2025 LQ 208,91 208,91"
"Pago título: 2500007923 5575 - FONTE GELO LTDA 29/08/2025 LQ 208,9 208,9"
"Pago título: 2500007930 7879 - TECTEXTIL EMBALAGENS 29/08/2025 LQ 208,88 208,88"
"Pago título: 2500007951 5491 - BREW CENTER CERVEJAS 29/08/2025 LQ 206,52 206,52"
"Pago título: 2500007958 2047 - ITARARE TRANSPORTE D 29/08/2025 LQ 206,25 206,25"
"Pago título: 2500007965 3423 - A A DE MELO  CIA LTD 29/08/2025 LQ 206,16 206,16"
"Pago título: 2500007986 5861 - ASSOCIACAO DESPORTIV 29/08/2025 LQ 204,69 204,69"
"Pago título: 2500007993 1308 - INDUSTRIA DE BEBIDAS 29/08/2025 LQ 203,28 203,28"
"Pago título: 2500008000 4132 - MRGM PARTICIPACOES E 29/08/2025 LQ 203,26 203,26"
"Pago título: 2500008014 7910 - CONDOMINIO RESIDENCI 29/08/2025 LQ 202,8 202,8"
"Pago título: 2500008028 4315 - AGE DO BRASIL INDUST 29/08/2025 LQ 200,75 200,75"
"Pago título: 2500008035 5449 - CONDOMINIO HOTEL INT 29/08/2025 LQ 200,75 200,75"
"Pago título: 2500008042 4674 - L OCCITANE OPERA IND 29/08/2025 LQ 200,75 200,75"
"Pago título: 2500008049 2069 - TRANSPORTES 21 LTDA 29/08/2025 LQ 200,75 200,75"
