"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72462483009202521607_id.ret"
""
"Cadastrado título novo: 9000008951 555 - UNIMED COOPERATIVA CE 31/10/2025 RG 403,96 0"
"Pago título: 2500004781 946 - HOTEL CAMPING ESTANCI 30/09/2025 LQ 853,21 853,21"
"Pago título: 2500004788 461 - JRM  PARTICIPACOES LT 30/09/2025 LQ 852,41 852,41"
"Pago título: 2500004795 1429 - ASSOCIACAO ADMINISTR 30/09/2025 LQ 849,02 849,02"
"Pago título: 2500004802 1592 - MICROSAL INDUSTRIA E 30/09/2025 LQ 848,6 848,6"
"Pago título: 2500004830 3622 - CONDOMINIO CAPELA DO 30/09/2025 LQ 838,11 838,11"
"Pago título: 2500004837 3449 - CERAMICA CARMELO FIO 30/09/2025 LQ 836,48 836,48"
"Pago título: 2500004872 7812 - TEXTIL OMBORGO LTDA 30/09/2025 LQ 823,18 823,18"
"Pago título: 2500004879 3060 - ASSOCIACAO DOS PROPR 30/09/2025 LQ 815,56 815,56"
"Pago título: 2500004886 2752 - PREFEITURA DO MUNICI 30/09/2025 LQ 815,02 815,02"
"Pago título: 2500004900 1423 - TASA TINTURARIA AMER 30/09/2025 LQ 801,55 801,55"
"Pago título: 2500004914 909 - FLEX PARQUE EMPRESARI 30/09/2025 LQ 800,93 800,93"
"Pago título: 2500004935 981 - PIRACAIA IND E COM EX 30/09/2025 LQ 783,97 783,97"
"Pago título: 2500004942 7785 - VISTA VERDE CAPIVARI 30/09/2025 LQ 774,71 774,71"
"Pago título: 2500004949 2337 - CERAMICA CARMELO FIO 30/09/2025 LQ 759,42 759,42"
"Pago título: 2500004984 2910 - CHACARAS LONG ISLAND 30/09/2025 LQ 751,83 751,83"
"Pago título: 2500004991 2175 - INDUSTRIA E COMERCIO 30/09/2025 LQ 751,08 751,08"
"Pago título: 2500005012 1193 - TEXTIL CANATIBA LTDA 30/09/2025 LQ 745,05 745,05"
"Pago título: 2500005019 223 - VIVA PISOS E REVESTIM 30/09/2025 LQ 739,45 739,45"
"Pago título: 2500005026 324 - DEDINI SA INDUSTRIAS 30/09/2025 LQ 735,92 735,92"
"Pago título: 2500005033 503 - FLAMBOIA ALIMENTOS LT 30/09/2025 LQ 733,39 733,39"
"Pago título: 2500005054 7707 - SORVETES JUNDIA INDU 30/09/2025 LQ 726,31 726,31"
"Pago título: 2500005068 390 - TOYOBO DO BRASIL LTDA 30/09/2025 LQ 721,41 721,41"
"Pago título: 2500005089 59 - FUND CPQD  CENTRO PESQ 30/09/2025 LQ 688,03 688,03"
"Pago título: 2500005124 7908 - FUNDACAO ANTONIO ANT 30/09/2025 LQ 678,44 678,44"
"Pago título: 2500005138 2284 - AGUA VIDA TRANSPORTE 30/09/2025 LQ 669,18 669,18"
"Pago título: 2500005145 7821 - CLUBE PRAIA DA GRAMA 30/09/2025 LQ 669,18 669,18"
"Pago título: 2500005180 4786 - SEARA ALIMENTOS LTDA 30/09/2025 LQ 648,27 648,27"
"Pago título: 2500005187 455 - TBK MINERACAO LTDA 30/09/2025 LQ 647,01 647,01"
"Pago título: 2500005201 3262 - ASSOCIACAO DE AMIGOS 30/09/2025 LQ 642,94 642,94"
"Pago título: 2500005229 2331 - STONE BUILDING INDUS 30/09/2025 LQ 639,23 639,23"
"Pago título: 2500005250 356 - ESTANCIA ARVORE DA VI 30/09/2025 LQ 634,44 634,44"
"Pago título: 2500005257 25 - EXTRACAO E COMERCIO DE 30/09/2025 LQ 632,29 632,29"
"Pago título: 2500005278 5168 - NEWPOP INDUSTRIA QUI 30/09/2025 LQ 627,36 627,36"
"Pago título: 2500005285 7809 - FONTE CIDADE AZUL DE 30/09/2025 LQ 626,31 626,31"
"Pago título: 2500005306 1139 - HOPI HARI SA 30/09/2025 LQ 617,91 617,91"
"Pago título: 2500005334 1846 - COMPANHIA NACIONAL D 30/09/2025 LQ 611,93 611,93"
"Pago título: 2500005348 2088 - ASSOCIACAO DE PROPRI 30/09/2025 LQ 610,63 610,63"
"Pago título: 2500005362 3491 - H2ORA DISTRIBUIDORA 30/09/2025 LQ 606,33 606,33"
"Pago título: 2500005376 7794 - PORTAL DAS ANDORINHA 30/09/2025 LQ 601,31 601,31"
"Pago título: 2500005418 2464 - SPARTAN DO BRASIL PR 30/09/2025 LQ 586,79 586,79"
"Pago título: 2500005467 2474 - DE MARCHI INDUSTRIA 30/09/2025 LQ 573,19 573,19"
"Pago título: 2500005474 7898 - GODOI AGUA E POCOS E 30/09/2025 LQ 572,01 572,01"
"Pago título: 2500005516 2074 - SALTORELLI TINTURARI 30/09/2025 LQ 551,77 551,77"
"Pago título: 2500005523 5560 - WT NEGOCIOS IMOBILIA 30/09/2025 LQ 550,4 550,4"
"Pago título: 2500005530 34 - CONDOMINIO BOUGAINVILL 30/09/2025 LQ 548,95 548,95"
"Pago título: 2500005537 2748 - QUALITY BENEFICIADOR 30/09/2025 LQ 545,37 545,37"
"Pago título: 2500005544 2348 - RAUL FERREIRA LEITE 30/09/2025 LQ 543,71 543,71"
"Pago título: 2500005551 4116 - TARTALIA EMPREENDIME 30/09/2025 LQ 543,71 543,71"
"Pago título: 2500005565 7916 - CORR PLASTIK SISTEMA 30/09/2025 LQ 542,99 542,99"
"Pago título: 2500005572 4288 - PTM AGRICOLA E PARTI 30/09/2025 LQ 539,18 539,18"
"Pago título: 2500005593 432 - ASSOCIACAO PROPRIETAR 30/09/2025 LQ 523,95 523,95"
"Pago título: 2500005600 1689 - AJINOMOTO DO BRASIL 30/09/2025 LQ 522,81 522,81"
"Pago título: 2500005614 924 - CONDOMINIO CHACARAS M 30/09/2025 LQ 519,92 519,92"
"Pago título: 2500005621 142 - SOCIEDADE DE MELHORAM 30/09/2025 LQ 519,87 519,87"
"Pago título: 2500005628 5418 - SAMUEL SAMPAIO TOCAL 30/09/2025 LQ 517,85 517,85"
"Pago título: 2500005635 1274 - GUAINUMBY TEXTIL LTD 30/09/2025 LQ 517,54 517,54"
"Pago título: 2500005649 24 - ASSOCIACAO DOS PROPRIE 30/09/2025 LQ 515,75 515,75"
"Pago título: 2500005656 163 - SABARA QUIMICOS E ING 30/09/2025 LQ 513,93 513,93"
"Pago título: 2500005663 2952 - EXTRACAO E COMERCIO 30/09/2025 LQ 509,07 509,07"
"Pago título: 2500005684 237 - IPLASA  INDUSTRIA E C 30/09/2025 LQ 501,89 501,89"
"Pago título: 2500005691 3637 - PICOLI  CARRARA COME 30/09/2025 LQ 501,89 501,89"
"Pago título: 2500005698 297 - CERAMICA CRISTOFOLETT 30/09/2025 LQ 501,89 501,89"
"Pago título: 2500005712 5040 - CONDOMINIO GARNET 30/09/2025 LQ 501,89 501,89"
"Pago título: 2500005747 1750 - PREFEITURA MUNICIPAL 30/09/2025 LQ 492,74 492,74"
"Pago título: 2500005754 1050 - CIA SANEAMENTO BASIC 30/09/2025 LQ 492,65 492,65"
"Pago título: 2500005761 3992 - HOTEL FAZENDA HARAS 30/09/2025 LQ 489,34 489,34"
"Pago título: 2500005775 3666 - RAUL FERREIRA LEITE 30/09/2025 LQ 480,97 480,97"
"Pago título: 2500005782 844 - COIM BRASIL LTDA 30/09/2025 LQ 477,53 477,53"
"Pago título: 2500005789 3365 - MALIBER INDUSTRIA E 30/09/2025 LQ 476,26 476,26"
"Pago título: 2500005796 2590 - DIERBERGER OLEOS ESS 30/09/2025 LQ 475,75 475,75"
"Pago título: 2500005810 4784 - ASSOCIACAO DOS PROPR 30/09/2025 LQ 470,52 470,52"
"Pago título: 2500005817 2329 - NOVA MIX INDUSTRIAL 30/09/2025 LQ 463,32 463,32"
"Pago título: 2500005824 4361 - RAUL FERREIRA LEITE 30/09/2025 LQ 460,06 460,06"
"Pago título: 2500005831 3453 - CERAMICA SAVANE LTDA 30/09/2025 LQ 457,72 457,72"
"Pago título: 2500005845 2478 - ASSOC DOS PROPRIETAR 30/09/2025 LQ 453,11 453,11"
"Pago título: 2500005852 1547 - SOCER BRASIL INDUSTR 30/09/2025 LQ 450,8 450,8"
"Pago título: 2500005866 7838 - BLUE STONE BRASIL LT 30/09/2025 LQ 450,51 450,51"
"Pago título: 2500005887 3253 - COPASIL QUIMICA INDU 30/09/2025 LQ 443,16 443,16"
"Pago título: 2500005894 7907 - ASSOCIACAO CHACARAS 30/09/2025 LQ 439,15 439,15"
"Pago título: 2500005901 2981 - VIVA PISOS E REVESTI 30/09/2025 LQ 439,15 439,15"
"Pago título: 2500005908 2239 - CERAMICA RAMOS LTDA 30/09/2025 LQ 439,04 439,04"
"Pago título: 2500005915 1618 - NAZATO PIRACICABA TR 30/09/2025 LQ 437,43 437,43"
"Pago título: 2500005922 7764 - ASSOCIACAO BUSINESS 30/09/2025 LQ 431,79 431,79"
"Pago título: 2500005936 4779 - FUNDACAO CENTRO DE A 30/09/2025 LQ 429,53 429,53"
"Pago título: 2500005943 152 - SOCIEDADE AMIGOS DO R 30/09/2025 LQ 428,69 428,69"
"Pago título: 2500005964 7841 - COND CIVIL VOLUNTARI 30/09/2025 LQ 423,17 423,17"
"Pago título: 2500005971 1091 - DEPARTAMENTO DE AGUA 30/09/2025 LQ 422,33 422,33"
"Pago título: 2500005985 1692 - LALLEMAND SOLUCOES B 30/09/2025 LQ 418,84 418,84"
"Pago título: 2500005992 3954 - MARCO ANTONIO TONOLI 30/09/2025 LQ 418,24 418,24"
"Pago título: 2500006027 7733 - ASSOC PROP LOT FECH 30/09/2025 LQ 418,24 418,24"
"Pago título: 2500006034 4631 - AGROPECUARIA CAPUAVA 30/09/2025 LQ 418,24 418,24"
"Pago título: 2500006041 7906 - TRANENGE CONSTRUCOES 30/09/2025 LQ 418,24 418,24"
"Pago título: 2500006048 4197 - ASSOCIACAO DOS PROPR 30/09/2025 LQ 418,24 418,24"
"Pago título: 2500006076 1246 - CLUBE JUNDIAIENSE 30/09/2025 LQ 416,36 416,36"
"Pago título: 2500006090 4306 - CONSTANTE DE OLIVEIR 30/09/2025 LQ 414,06 414,06"
"Pago título: 2500006104 6966 - TONINPAR EMPREENDIME 30/09/2025 LQ 413,63 413,63"
"Pago título: 2500006111 7159 - FLAVOUR MIX INDUSTRI 30/09/2025 LQ 412,39 412,39"
"Pago título: 2500006125 2083 - HANIER ESPECIALIDADE 30/09/2025 LQ 408,38 408,38"
"Pago título: 2500006139 1459 - CIA SANEAMENTO BASIC 30/09/2025 LQ 407,96 407,96"
"Pago título: 2500006153 938 - MIRACEMA NUODEX INDUS 30/09/2025 LQ 407,01 407,01"
"Pago título: 2500006167 2773 - SOCIEDADE DE ARMAZEN 30/09/2025 LQ 403,01 403,01"
"Pago título: 2500006188 1456 - ASSOC DOS PROP DO LO 30/09/2025 LQ 397,33 397,33"
"Pago título: 2500006202 932 - GREMIO RECR EMPREGADO 30/09/2025 LQ 395,69 395,69"
"Pago título: 2500006209 1465 - BBC INDUSTRIA E COME 30/09/2025 LQ 386,09 386,09"
"Pago título: 2500006216 5694 - R BOQUINO TRANSPORTE 30/09/2025 LQ 384,45 384,45"
"Pago título: 2500006223 7309 - PROJESAN SANEAMENTO 30/09/2025 LQ 383,06 383,06"
"Pago título: 2500006244 1813 - MAXLAV LAVANDERIA ES 30/09/2025 LQ 379,53 379,53"
"Pago título: 2500006258 265 - ADERE PRODUTOS AUTOAD 30/09/2025 LQ 377,57 377,57"
"Pago título: 2500006265 1477 - JETFIO INDUSTRIA TEX 30/09/2025 LQ 377,22 377,22"
"Pago título: 2500006279 5487 - ASSOC DOS PROPR DE L 30/09/2025 LQ 376,41 376,41"
"Pago título: 2500006293 426 - RUY R DA ROCHA PRODUT 30/09/2025 LQ 376,41 376,41"
"Pago título: 2500006307 1243 - ASSOCIACAO PROPRIETA 30/09/2025 LQ 376,41 376,41"
"Pago título: 2500006328 2901 - AGUA RICA LTDA 30/09/2025 LQ 374,09 374,09"
"Pago título: 2500006335 3221 - LIMEIRENSE FERTILIZA 30/09/2025 LQ 370,09 370,09"
"Pago título: 2500006342 2665 - ASSOC DOS PROPRIET D 30/09/2025 LQ 369,47 369,47"
"Pago título: 2500006349 335 - ANTONIO BORIN SA IND 30/09/2025 LQ 367,15 367,15"
"Pago título: 2500006363 5545 - COOPERATIVA VEILING 30/09/2025 LQ 365,12 365,12"
"Pago título: 2500006391 69 - PLASTEK DO BRASIL INDU 30/09/2025 LQ 363,24 363,24"
"Pago título: 2500006398 3696 - AGUAS DE CAMPINAS TR 30/09/2025 LQ 357,59 357,59"
"Pago título: 2500006412 3694 - SANDMIX MINERACAO LT 30/09/2025 LQ 357,51 357,51"
"Pago título: 2500006426 2172 - FARMINA PET FOODS BR 30/09/2025 LQ 356,68 356,68"
"Pago título: 2500006440 1591 - TQA INDUSTRIA E COME 30/09/2025 LQ 355,5 355,5"
"Pago título: 2500006447 7871 - ASS PROP LOT CONDOMI 30/09/2025 LQ 355,5 355,5"
"Pago título: 2500006482 182 - UNIPEL INDUSTRIA E CO 30/09/2025 LQ 345,95 345,95"
"Pago título: 2500006489 293 - OMAMORI INDUSTRIA DE 30/09/2025 LQ 344,85 344,85"
"Pago título: 2500006517 5323 - ERCA INDUSTRIA E COM 30/09/2025 LQ 341,09 341,09"
"Pago título: 2500006552 262 - INDUSTRIA CAMPINEIRA 30/09/2025 LQ 338,77 338,77"
"Pago título: 2500006601 985 - CONDOMINIO FAZENDA DU 30/09/2025 LQ 335,06 335,06"
"Pago título: 2500006636 7322 - CAMARGO COMPANHIA DE 30/09/2025 LQ 334,59 334,59"
"Pago título: 2500006671 3480 - MEDI HOUSE IND E COM 30/09/2025 LQ 332,65 332,65"
"Pago título: 2500006713 7704 - ASS DOS PROPRIETARIO 30/09/2025 LQ 326,86 326,86"
"Pago título: 2500006720 2745 - CONDOMINIO DO SHOPPI 30/09/2025 LQ 326,44 326,44"
"Pago título: 2500006734 3397 - PREFEITURA MUNICIPAL 30/09/2025 LQ 325,38 325,38"
"Pago título: 2500006776 1676 - CASSOL PRE FABRICADO 30/09/2025 LQ 321,76 321,76"
"Pago título: 2500006790 7826 - SANT ANA ANALANDIA E 30/09/2025 LQ 321,36 321,36"
"Pago título: 2500006811 852 - ECOFABRIL INDUSTRIA E 30/09/2025 LQ 318 318"
"Pago título: 2500006818 1085 - YAKULT SA INDUSTRIA 30/09/2025 LQ 316,6 316,6"
"Pago título: 2500006867 7843 - CERAMICA ALMEIDA LTD 30/09/2025 LQ 313,68 313,68"
"Pago título: 2500006874 7878 - CINEXPAN IND E COMER 30/09/2025 LQ 313,68 313,68"
"Pago título: 2500006888 1144 - ASSOCIACAO PROPRIET 30/09/2025 LQ 313,68 313,68"
"Pago título: 2500006951 1313 - KIKKOMAN DO BRASIL I 30/09/2025 LQ 302,07 302,07"
"Pago título: 2500006979 7126 - ASSOCIACAO DOS PROPR 30/09/2025 LQ 301,13 301,13"
"Pago título: 2500006986 3514 - CERAMICA GRESCA G3 L 30/09/2025 LQ 301,13 301,13"
"Pago título: 2500006993 5805 - QUIBRITA MINERADORA 30/09/2025 LQ 300,79 300,79"
"Pago título: 2500007021 166 - BRF  BRASIL FOODS SA 30/09/2025 LQ 296,69 296,69"
"Pago título: 2500007035 3679 - CMR INDUSTRIA E COME 30/09/2025 LQ 294,67 294,67"
"Pago título: 2500007042 1701 - TINTURARIA E ESTAMPA 30/09/2025 LQ 294,55 294,55"
"Pago título: 2500007056 68 - ASSOCIACAO GREEN VILLA 30/09/2025 LQ 293,91 293,91"
"Pago título: 2500007063 7896 - ASSOC DOS PROP DO LO 30/09/2025 LQ 293,6 293,6"
"Pago título: 2500007070 7720 - ASSOC DOS MORADORES 30/09/2025 LQ 292,77 292,77"
"Pago título: 2500007091 1976 - SOL INVEST EMPREENDI 30/09/2025 LQ 291,16 291,16"
"Pago título: 2500007098 2814 - REAL INDUSTRIA E COM 30/09/2025 LQ 290,85 290,85"
"Pago título: 2500007126 7885 - ASSOC DOS PROPRIETAR 30/09/2025 LQ 289 289"
"Pago título: 2500007133 6366 - SOCIEDADE AGOSTINIAN 30/09/2025 LQ 288,85 288,85"
"Pago título: 2500007140 2897 - REQUIPH METALURGICA 30/09/2025 LQ 288,76 288,76"
"Pago título: 2500007161 7835 - ASSOC DOS PROPRIETAR 30/09/2025 LQ 287,61 287,61"
"Pago título: 2500007168 1830 - SUOMINEN BRASIL INDU 30/09/2025 LQ 285,87 285,87"
"Pago título: 2500007189 3 - CONDOMINIO RESIDENCIAL 30/09/2025 LQ 281,35 281,35"
"Pago título: 2500007196 1990 - PEDREIRA FAZENDA VEL 30/09/2025 LQ 280,17 280,17"
"Pago título: 2500007203 5467 - CELULA EMPREENDIMENT 30/09/2025 LQ 279,15 279,15"
"Pago título: 2500007224 7877 - ASSOCIACAO PARQUE RE 30/09/2025 LQ 271,86 271,86"
"Pago título: 2500007231 4385 - MATEUS CAVALCANTI IZ 30/09/2025 LQ 271,86 271,86"
"Pago título: 2500007245 1603 - OLIVEIRA  LOPES LTDA 30/09/2025 LQ 269,79 269,79"
"Pago título: 2500007252 4827 - BOM PEIXE INDUSTRIA 30/09/2025 LQ 267,67 267,67"
"Pago título: 2500007273 7804 - ASSOC DOS PROP DE LO 30/09/2025 LQ 263,12 263,12"
"Pago título: 2500007287 7895 - MPW ASSESSORIA EM LA 30/09/2025 LQ 257,34 257,34"
"Pago título: 2500007294 2575 - LUBRASIL LUBRIFICANT 30/09/2025 LQ 256,28 256,28"
"Pago título: 2500007301 1033 - CCS TECNOLOGIA E SER 30/09/2025 LQ 255,45 255,45"
"Pago título: 2500007322 3720 - JL PAULO  CIA LTDA 30/09/2025 LQ 253,58 253,58"
"Pago título: 2500007329 7754 - MAT EQUIPAMENTOS PAR 30/09/2025 LQ 253,06 253,06"
"Pago título: 2500007378 3107 - RUY R DA ROCHA PRODU 30/09/2025 LQ 250,94 250,94"
"Pago título: 2500007385 73 - NARDINI PISOS E REVEST 30/09/2025 LQ 250,94 250,94"
"Pago título: 2500007392 4356 - CONDOMINIO RESIDENCI 30/09/2025 LQ 250,94 250,94"
"Pago título: 2500007399 7863 - VF 16 ELDORADO SPE L 30/09/2025 LQ 250,94 250,94"
"Pago título: 2500007427 183 - TEXTIL BASSETO LTDA 30/09/2025 LQ 248,81 248,81"
"Pago título: 2500007448 4916 - CLUBE ATLETICO VALIN 30/09/2025 LQ 246,87 246,87"
"Pago título: 2500007455 4485 - PARQUE DOS EUCALIPTO 30/09/2025 LQ 246,55 246,55"
"Pago título: 2500007483 1266 - ASSOCIACAO COMUNITAR 30/09/2025 LQ 244,67 244,67"
"Pago título: 2500007497 1609 - GRANITEC IND E COM D 30/09/2025 LQ 244,32 244,32"
"Pago título: 2500007518 2293 - BRUNO NICOLETTI TECI 30/09/2025 LQ 242,62 242,62"
"Pago título: 2500007525 7860 - R  S EMPREENDIMENTOS 30/09/2025 LQ 242,58 242,58"
"Pago título: 2500007532 7864 - PEDREIRA FAZENDA VEL 30/09/2025 LQ 241,49 241,49"
"Pago título: 2500007539 5606 - AROMA BIOENERGIA LTD 30/09/2025 LQ 241,16 241,16"
"Pago título: 2500007546 1885 - A PRESS TRANSPORTES 30/09/2025 LQ 240,9 240,9"
"Pago título: 2500007553 896 - PREFEITURA MUNICIPAL 30/09/2025 LQ 239,15 239,15"
"Pago título: 2500007560 7822 - ASSOC CONDOMINIOS RE 30/09/2025 LQ 239,11 239,11"
"Pago título: 2500007567 4059 - ATI GEL FRUTAS CONGE 30/09/2025 LQ 234,94 234,94"
"Pago título: 2500007588 563 - PLAZA INDUSTRIA E COM 30/09/2025 LQ 232,58 232,58"
"Pago título: 2500007595 3097 - CISOL DO BRASIL EXPO 30/09/2025 LQ 230,55 230,55"
"Pago título: 2500007602 2988 - K  G INDUSTRIA E COM 30/09/2025 LQ 230,26 230,26"
"Pago título: 2500007609 604 - ASSOCIACAO RESIDENCIA 30/09/2025 LQ 230,03 230,03"
"Pago título: 2500007616 2168 - EMEPE INDUSTRIA GRAF 30/09/2025 LQ 230,03 230,03"
"Pago título: 2500007637 5303 - ASSOCIACAO DOS MORAD 30/09/2025 LQ 225,85 225,85"
"Pago título: 2500007651 4479 - PERFORM PARTICIPACOE 30/09/2025 LQ 225,63 225,63"
"Pago título: 2500007658 5409 - TATIANA CRISTINA DE 30/09/2025 LQ 225,32 225,32"
"Pago título: 2500007679 202 - NOVA PLAST IND E COM 30/09/2025 LQ 224,64 224,64"
"Pago título: 2500007693 2196 - ASSOCIACAO CIVIL PAR 30/09/2025 LQ 223,22 223,22"
"Pago título: 2500007735 1993 - CABLENA DO BRASIL LT 30/09/2025 LQ 220 220"
"Pago título: 2500007742 2082 - COLORFLEX ESTAMPARIA 30/09/2025 LQ 219,63 219,63"
"Pago título: 2500007756 1130 - BRASALIMENT INDUSTRI 30/09/2025 LQ 218,23 218,23"
"Pago título: 2500007770 1077 - DP  LF TRANSPORTES L 30/09/2025 LQ 214,56 214,56"
"Pago título: 2500007777 1870 - MALIBER INDUSTRIA E 30/09/2025 LQ 213,3 213,3"
"Pago título: 2500007784 7740 - ASSOC DOS MORADORES 30/09/2025 LQ 212,83 212,83"
"Pago título: 2500007791 1652 - RICLAN SA 30/09/2025 LQ 212,81 212,81"
"Pago título: 2500007812 3328 - EXPRESSO CAMPIBUS LT 30/09/2025 LQ 210,16 210,16"
"Pago título: 2500007833 680 - JOSE EDUARDO ANNICCHI 30/09/2025 LQ 209,12 209,12"
"Pago título: 2500007847 3212 - PEDREIRA NOGUEIRENSE 30/09/2025 LQ 209,12 209,12"
"Pago título: 2500007854 5436 - ANSELMO AGUAS E TRAN 30/09/2025 LQ 209,12 209,12"
"Pago título: 2500007861 2881 - SERVICO DE AGUA E ES 30/09/2025 LQ 209,12 209,12"
"Pago título: 2500007896 5492 - BUONO GEL INDUSTRIA 30/09/2025 LQ 209,12 209,12"
"Pago título: 2500007903 2028 - TERMOTECNICA LTDA 30/09/2025 LQ 209,12 209,12"
"Pago título: 2500007910 3094 - RENATO PASSARIN  FIL 30/09/2025 LQ 209,12 209,12"
"Pago título: 2500007917 3592 - CONDOMINIO LAGOS SHA 30/09/2025 LQ 208,91 208,91"
"Pago título: 2500007924 5575 - FONTE GELO LTDA 30/09/2025 LQ 208,9 208,9"
"Pago título: 2500007931 7879 - TECTEXTIL EMBALAGENS 30/09/2025 LQ 208,88 208,88"
"Pago título: 2500007959 2047 - ITARARE TRANSPORTE D 30/09/2025 LQ 206,25 206,25"
"Pago título: 2500007966 3423 - A A DE MELO  CIA LTD 30/09/2025 LQ 206,16 206,16"
"Pago título: 2500007994 1308 - INDUSTRIA DE BEBIDAS 30/09/2025 LQ 203,28 203,28"
"Pago título: 2500008001 4132 - MRGM PARTICIPACOES E 30/09/2025 LQ 203,26 203,26"
"Pago título: 2500008015 7910 - CONDOMINIO RESIDENCI 30/09/2025 LQ 202,8 202,8"
"Pago título: 2500008029 4315 - AGE DO BRASIL INDUST 30/09/2025 LQ 200,75 200,75"
"Pago título: 2500008043 4674 - L OCCITANE OPERA IND 30/09/2025 LQ 200,75 200,75"
"Pago título: 2500008050 2069 - TRANSPORTES 21 LTDA 30/09/2025 LQ 200,75 200,75"
"Pago título: 2500008057 3271 - ASSOCIACAO DOS PROPR 30/09/2025 LQ 200,75 200,75"
"Pago título: 9000008529 3644 - IBG CRYO INDUSTRIA D 30/09/2025 LQ 900,88 900,88"
"Pago título: 9000008615 2901 - AGUA RICA LTDA 30/09/2025 LQ 517,22 517,22"
"Pago título: 9000008671 3696 - AGUAS DE CAMPINAS TR 30/09/2025 LQ 705,09 705,09"
"Pago título: 9000008686 4134 - CONDOMINIO RESIDENCI 30/09/2025 LQ 294,56 294,56"
"Pago título: 9000008745 225 - AMPARO ATHLETICO CLUB 30/09/2025 LQ 240,65 240,65"
"Pago título: 9000008747 335 - ANTONIO BORIN IND E C 30/09/2025 LQ 1226,03 1226,03"
"Pago título: 9000008778 3646 - MAGAZINE LUIZA S.A. 30/09/2025 LQ 1204,53 1204,53"
"Pago título: 9000008782 5215 - COMPANHIA AGRICOLA S 30/09/2025 LQ 2684,73 2684,73"
"Pago título: 9000008791 7130 - MADERO INDUSTRIA E C 30/09/2025 LQ 1538,34 1538,34"
"Pago título: 9000008799 7919 - ASSOC DOS PROP LOT E 30/09/2025 LQ 582,78 582,78"
"Pago título: 9000008805 3018 - COLOROBBIA BRASIL PR 30/09/2025 LQ 783,26 783,26"
"Pago título: 9000008806 2267 - KSB BOMBAS HIDRAULIC 30/09/2025 LQ 1200,68 1200,68"
"Pago título: 9000008810 2389 - JOFEGE CONCRETO LTDA 30/09/2025 LQ 451,14 451,14"
"Pago título: 9000008818 2679 - KSB BOMBAS HIDRAULIC 30/09/2025 LQ 1545,97 1545,97"
"Pago título: 9000008823 2909 - NEOVIA NUTRICAO E SA 30/09/2025 LQ 995,64 995,64"
"Pago título: 9000008824 4690 - RODONAVES TRANSPORTE 30/09/2025 LQ 585,53 585,53"
"Pago título: 9000008828 954 - AB SISTEMA DE FREIOS 30/09/2025 LQ 637,17 637,17"
"Pago título: 9000008829 156 - EMBRASATEC INDUSTRIA 30/09/2025 LQ 421,31 421,31"
"Pago título: 9000008830 7859 - EMBRASA EMBALAGEM BR 30/09/2025 LQ 229,52 229,52"
"Pago título: 9000008831 4030 - EMBRASATEC INDUSTRIA 30/09/2025 LQ 417,04 417,04"
"Pago título: 9000008832 2841 - CERAMICA DA MATA LTD 30/09/2025 LQ 369,2 369,2"
"Pago título: 9000008833 2032 - SEW - EURODRIVE BRAS 30/09/2025 LQ 777,21 777,21"
"Pago título: 9000008835 1200 - CLARO S.A. 30/09/2025 LQ 525,98 525,98"
"Pago título: 9000008837 932 - GREMIO RECR EMPREGADO 30/09/2025 LQ 209,98 209,98"
"Pago título: 9000008842 3399 - EDENA MARIA PECHIO S 30/09/2025 LQ 1138,18 1138,18"
"Pago título: 9000008843 2707 - MINERMIX MINERACAO L 30/09/2025 LQ 428,84 428,84"
"Pago título: 9000008849 2969 - POLIMIX CONCRETO LTD 30/09/2025 LQ 847,12 847,12"
"Pago título: 9000008850 7741 - ASSOCIACAO DOS PROP 30/09/2025 LQ 459,43 459,43"
"Pago título: 9000008853 3821 - FITESA NAO TECIDOS S 30/09/2025 LQ 346,13 346,13"
"Pago título: 9000008854 2048 - CONDOMINIO RESIDENCI 30/09/2025 LQ 651,96 651,96"
"Pago título: 9000008857 7422 - DANIEL CARDOSO MENDO 30/09/2025 LQ 1216,51 1216,51"
"Pago título: 9000008860 3574 - FUNDACAO VISCONDE DE 30/09/2025 LQ 1521,62 1521,62"
"Pago título: 9000008864 483 - SHERWIN WILLIANS DO B 30/09/2025 LQ 1982,51 1982,51"
"Pago título: 9000008867 7922 - SDB COMERCIO DE ALIM 30/09/2025 LQ 1215,47 1215,47"
"Pago título: 9000008871 1289 - ASGA S/A 30/09/2025 LQ 585,54 585,54"
"Pago título: 9000008875 4594 - MYOUNG SHIN FABRICAN 30/09/2025 LQ 1306,89 1306,89"
"Pago título: 9000008876 7872 - SHINAGAWA REFRATARIO 30/09/2025 LQ 228,35 228,35"
"Pago título: 9000008877 362 - FUNDICAO SAO FRANCISC 30/09/2025 LQ 921,24 921,24"
"Pago título: 9000008878 2819 - ATRISEV COMERCIAL E 30/09/2025 LQ 982,34 982,34"
"Pago título: 9000008880 769 - LUIZ CARLOS SCARPONI 30/09/2025 LQ 658,02 658,02"
"Pago título: 9000008884 1076 - LOJAS CEM S/A 30/09/2025 LQ 457,45 457,45"
"Pago título: 9000008887 7012 - CONCREBEM CONCRETO U 30/09/2025 LQ 319,19 319,19"
"Pago título: 9000008903 1351 - COMINPA - COMERCIO, 30/09/2025 LQ 932,99 932,99"
"Pago título: 9000008904 4483 - SUPERMIX CONCRETO S/ 30/09/2025 LQ 636,29 636,29"
